age,title,date,img,link,star,man,book
15세 관람가,완벽한 축사를 준비하는 방법,20220519,https://movie-phinf.pstatic.net/20220419_158/1650356715788J11ms_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=195439,7.8,10,https://movie.naver.com/movie/bi/mi/running.naver?code=195439
전체 관람가,봉명주공,20220519,https://movie-phinf.pstatic.net/20220420_285/1650440928549K6dtn_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=199908,8.0,2,https://movie.naver.com/movie/bi/mi/running.naver?code=199908
12세 관람가,파이어스타터,20220519,https://movie-phinf.pstatic.net/20220504_10/1651643540299cbvUk_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=213511,4.4,5,https://movie.naver.com/movie/bi/mi/running.naver?code=213511
15세 관람가,범죄도시2,20220518,https://movie-phinf.pstatic.net/20220516_144/1652665409592Chvey_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=192608,9.55,8904,https://movie.naver.com/movie/bi/mi/running.naver?code=192608
전체 관람가,"아치의 노래, 정태춘",20220518,https://movie-phinf.pstatic.net/20220426_22/165094050059393Lij_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=207202,9.62,64,https://movie.naver.com/movie/bi/mi/running.naver?code=207202
12세 관람가,매스,20220518,https://movie-phinf.pstatic.net/20220425_86/1650852715560gHxV3_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=201336,8.24,42,https://movie.naver.com/movie/bi/mi/running.naver?code=201336
15세 관람가,퍼스트 러브,20220516,https://movie-phinf.pstatic.net/20220420_111/1650442949802JzwNn_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=200060,6.14,7,https://movie.naver.com/movie/bi/mi/running.naver?code=200060
청소년 관람불가,"파리, 13구",20220512,https://movie-phinf.pstatic.net/20220412_154/1649728583099XCGEh_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=206647,7.47,79,https://movie.naver.com/movie/bi/mi/running.naver?code=206647
전체 관람가,나를 만나는 길,20220512,https://movie-phinf.pstatic.net/20220513_185/1652431243958UlCdr_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=169086,9.1,59,https://movie.naver.com/movie/bi/mi/running.naver?code=169086
청소년 관람불가,크로스 더 라인,20220512,https://movie-phinf.pstatic.net/20220419_232/1650360590317O6PhK_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=197945,7.33,15,https://movie.naver.com/movie/bi/mi/running.naver?code=197945
청소년 관람불가,데드캠핑 더라이브,20220512,https://movie-phinf.pstatic.net/20220510_74/1652150535220SaXYc_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=215814,5.14,74,https://movie.naver.com/movie/bi/mi/running.naver?code=215814
15세 관람가,허셀프,20220512,https://movie-phinf.pstatic.net/20220428_232/1651121723011VWgy8_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=191912,7.78,9,https://movie.naver.com/movie/bi/mi/running.naver?code=191912
전체 관람가,"허황옥 3일, 잃어버린 2천 년의 기억",20220512,https://movie-phinf.pstatic.net/20220425_170/1650854758182EFR8M_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=213526,6.0,1,https://movie.naver.com/movie/bi/mi/running.naver?code=213526
